Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 01:16:15 EST 2022,0,0,0
Tue Jul 19 01:16:25 EST 2022,0,0,0
Tue Jul 19 01:16:35 EST 2022,0,0,0
Tue Jul 19 01:16:45 EST 2022,0,0,0
Tue Jul 19 01:16:55 EST 2022,0,0,0
Tue Jul 19 01:17:05 EST 2022,0,0,0
Tue Jul 19 01:17:15 EST 2022,0,0,0
Tue Jul 19 01:17:25 EST 2022,0,0,0
Tue Jul 19 01:17:36 EST 2022,0,0,0
Tue Jul 19 01:17:46 EST 2022,0,0,0
Tue Jul 19 01:17:56 EST 2022,0,0,0
Tue Jul 19 01:18:06 EST 2022,0,0,0
Tue Jul 19 01:18:16 EST 2022,0,0,0
Tue Jul 19 01:18:26 EST 2022,0,0,0
Tue Jul 19 01:18:36 EST 2022,0,0,0
Tue Jul 19 01:18:46 EST 2022,0,0,0
Tue Jul 19 01:18:56 EST 2022,0,0,0
Tue Jul 19 01:19:06 EST 2022,0,0,0
Tue Jul 19 01:19:16 EST 2022,0,0,0
Tue Jul 19 01:19:26 EST 2022,0,0,0
Tue Jul 19 01:19:36 EST 2022,0,0,0
Tue Jul 19 01:19:46 EST 2022,0,0,0
Tue Jul 19 01:19:56 EST 2022,0,0,0
Tue Jul 19 01:20:06 EST 2022,0,0,0
Tue Jul 19 01:20:16 EST 2022,0,0,0
Tue Jul 19 01:20:26 EST 2022,0,0,0
Tue Jul 19 01:20:36 EST 2022,0,0,0
Tue Jul 19 01:20:46 EST 2022,0,0,0
Tue Jul 19 01:20:56 EST 2022,0,0,0
Tue Jul 19 01:21:06 EST 2022,0,0,0
Tue Jul 19 01:21:16 EST 2022,0,0,0
Tue Jul 19 01:21:26 EST 2022,0,0,0
Tue Jul 19 01:21:36 EST 2022,0,0,0
Tue Jul 19 01:21:46 EST 2022,0,0,0
Tue Jul 19 01:21:56 EST 2022,0,0,0
Tue Jul 19 01:22:06 EST 2022,0,0,0
Tue Jul 19 01:22:16 EST 2022,0,0,0
Tue Jul 19 01:22:26 EST 2022,0,0,0
Tue Jul 19 01:22:36 EST 2022,0,0,0
Tue Jul 19 01:22:46 EST 2022,0,0,0
Tue Jul 19 01:22:56 EST 2022,0,0,0
Tue Jul 19 01:23:06 EST 2022,0,0,0
Tue Jul 19 01:23:16 EST 2022,0,0,0
